postcode,price
DL42BP,64846.8824
DL94UT,90254.02765
HU32HL,84498.85605
HU46PR,60687.07153
M187JW,89810.82919
M187RA,97571.4674
M359JS,95352.02706
M436AN,76926.84363
M437RD,97850.85969
M97DW,70687.6224
M94EH,56525.96088
S56EA,87381.24911
S59NW,62037.47431
TN237XH,96472.12097
TN401HE,82652.3914
WF42HX,62202.92959
HU52UY,97763.38517
NG150AA,70985.87163
S204SA,91165.25254
L214NW,72921.18369
LL115SH,93589.65284
M261JF,56618.93322
LL113TE,99798.4636
BB21DY,59479.27027
BD228LR,86341.08875
CA222DS,72734.37248
NG177HR,77260.69491
NG172JD,74862.92107
NG59DX,81692.20159
NG59DW,70195.06326
NG55SU,97401.61674
OL28EZ,74772.95441
WA76DF,51356.35977
NG179JF,84512.25577
BB128QY,77074.44786
BB127LF,78586.11084
BB126QF,56515.92644
HU192EF,61471.15467
LL689BE,96390.18361
NP132SA,59640.24046
NP131SU,40709.13905
NP131DF,63286.76497
NP246AW,62156.05225
OL82JZ,86459.39807
SA65HF,99108.60836
SA65NB,68811.99133
SN48HG,76766.56879
B775NA,99826.7798
BB89HB,86473.48645
BB89HZ,86809.7783
BD63RR,96679.3354
CF426NA,74016.51286
CO92RB,70000
L345RW,89756.94045
OL97HX,80773.00804
CF819DT,98098.77612
CF818RH,84449.43144
L367TG,83683.84698
L65AB,79165.60522
LS146SU,82327.5502
NE287HP,54456.62911
OL45ET,57738.40923
OL41DY,65735.50136
WS20BJ,98477.48551
WS28BA,77540.92701
CA157NN,73090.77484
CA158SX,42196.0601
CV115PT,88086.25832
DN357QB,72817.09766
DN357AZ,62641.94864
DN58LL,84083.71589
DN84QW,78495.27655
DN84QF,81887.0736
FY38DR,85427.46482
LL652SP,88954.95628
NE333PS,82236.64922
S749JA,85830.68022
S749RN,95549.41504
SR32HR,52828.7647
SR34NU,80013.18802
TR148TP,57179.29518
TS247LQ,58438.71707
TS43PH,85344.67927
CA233EA,84139.41857
CH448BD,71898.91884
CH449BB,69622.51827
HU181SX,81771.11375
M307EP,95317.61938
NE177JA,56955.1847
OL162EU,73773.67094
WA80BE,76606.46422
CA24NH,88877.46383
CA27JW,67424.78994
L112TP,84830.43214
LE125HH,67524.90408
NG42PB,71429.79462
OL103DA,85397.12532
ST101DE,80938.6574
TF74EZ,74905.48244
DH50DQ,75171.9614
DL150PB,92627.12581
OL70HZ,76782.66532
SA152EG,74864.78692
M54FX,69576.71714
PL277FG,96918.21948
SA126EG,75617.19014
SA126RP,87968.68803
WV131DW,86826.27294
WV132LP,83648.22798
LS104BE,68262.57617
M460FD,63595.4175
NN12SH,88536.2552
NP224LW,91238.86143
S701AY,60991.95358
S701NL,79888.8151
SR33DF,80359.96824
WN88HX,90806.76944
WN89AE,75495.48802
WN88DN,96033.14863
WN88AL,86669.45194
LS102EH,94664.77352
YO318UA,88641.06169
BL53TN,82719.30037
DN172HL,46238.60532
NE241HE,74695.20796
NG182EY,65235.88549
NP123TE,85466.65527
HU139NR,88660.64098
LD15LB,79169.90873
NE245NJ,93458.52038
NE84RX,84833.77947
NR32PJ,77575.73154
OL161FF,86430.2823
PR60NU,68162.04255
WA27AF,87405.90369
S739QN,72502.2458
DL54SW,95790.96588
DL55HD,92065.54889
DL57BA,53466.1701
HU80ST,83156.29365
HU88RB,96376.94806
LS103AW,96341.1783
PE218TP,92175.44848
S602JH,60750.00653
ST16JE,88220.71095
TS14PR,60774.65974
WS124QD,95780.93572
WV12RX,99408.35773
B303NG,91414.22938
BB12AW,69881.74693
BD193EY,90505.26884
BD46HY,69933.28188
BD49DU,76336.63726
BD58RB,93583.10291
LN95AZ,99489.29546
LS62HL,75391.30435
WV100NE,98494.82759
BL14PU,80714.74055
DL167ND,60000
DN312JE,73479.27355
GL510DP,98618.38524
HU181RQ,78622.80766
LL184NA,90092.08306
M502QW,48666.66667
NE296PR,40325.32053
CW15EW,88123.69825
CW13ES,70736.32312
DH98RW,51277.86057
TS199AH,84690.75447
CF453RH,71647.07811
DN171LF,74217.09264
CF417SN,49152.79502
CH417BX,84329.29161
NG241NG,98012.1467
LL346AF,80700.22079
NR322BG,98269.19973
BD182HB,80714.57243
DL149BB,70569.6503
BD131JU,88743.55415
CF433BB,43069.51598
PR22AS,89274.67875
PR21UB,91109.27004
SA128HR,70875.80033
WA88UY,84886.77576
BB21HH,57874.29584
LL183LW,95716.98797
NG219DF,77808.57385
BA46NY,86702.82816
M228LQ,50274.43605
NE392ND,85406.63221
NG56EB,96011.88888
NP47SG,78587.06876
NP47UN,80840.11658
WF28TG,75316.3578
WF20EZ,60221.62681
CF483LA,57498.23929
CF483NG,98378.05508
CW121RP,88276.21647
LA184NF,89595.90336
NP117HB,83011.43547
PL54BW,59645.75941
PL52RN,73766.29281
WF119DU,92282.72943
WA92HS,70645.95165
CF312HH,91948.37616
DN358PF,93216.95126
BB32EE,92621.57163
BB33EL,68645.1147
LS85HX,74335.15079
ST16QU,94212.378
ST34RQ,71191.32758
ST34LL,63669.43341
ST37AN,67541.00653
SK153LH,89176.24157
DN124EL,69611.93351
DN158BH,93740.18663
WS14BQ,89531.97587
CF446ER,81716.32012
HD63BB,82679.66779
LL552HY,85910.70429
NE650BU,88795.9437
SA148NW,95153.88044
WF178LY,79103.79503
WF176ND,88176.35063
WF133EZ,94182.32157
S727NP,57361.6528
TS37LJ,79967.49674
CF327DG,99798.45569
M139UG,57475.33029
M403LX,84413.2293
NP123LH,92633.95867
WF103DR,43500
WN50QJ,74910.53625
DN157QB,49228.83937
L210DU,74256.14078
L281RW,62171.94482
LE39PT,86725.11476
LE39AG,91820.41855
PO36BL,89068.70996
SK103EX,86031.49951
SK103AZ,85320.83583
TS105HY,95841.48806
BD49EG,68159.87741
BD49PT,85996.59624
SA106NJ,96338.08995
SA108NY,91420.01671
SA108NA,47646.85949
SA106RN,99798.40112
SR48HT,87571.9811
BD132PF,53376.2145
L355AE,99580.67402
L353PJ,90004.04087
LL141PT,80700.24092
LL146AH,92256.15512
S740HG,97049.84764
LL142HF,96349.25344
BL34JQ,47823.22373
LL535PA,82650.46288
CA142NG,98710.83077
HD45DQ,62610.55336
LL198HX,68286.13999
NE661UU,80350.55948
WN24DG,77813.32564
WN21SJ,90179.08439
WS115JX,89915.1291
DN379LD,60980.56962
LE26QR,93679.58181
M65RT,73625.82125
SR53RE,96976.45312
CH495NN,91124.82273
HX39PT,92070.94666
LN22ED,92581.68836
TS198NN,35213.38622
TS198SP,66025.09916
HD62LE,53279.80083
L148XH,77635.88545
NR304HJ,96885.67442
NR303DT,91531.36538
B450PB,96165.72371
B459JP,93359.93671
B976LX,86810.74106
LA77PU,98578.34382
CA103QG,72476.62672
CF320NH,83265.71961
CF426HU,42539.06714
DH87JT,69092.15309
DL134AG,53500
SA84QU,89282.21427
SA111JN,78142.54346
SA113RS,82151.6387
SK145PA,89357.26182
TA201FD,70565.59914
WA50DX,85801.3259
DH88LR,83789.02288
HU68DS,41851.52565
HU67YB,95735.52621
HU68HB,37995.6716
HX61HR,77901.76732
NE156BH,61006.96595
BB104PZ,74500
CA141UW,61927.66155
CT201RB,78687.31167
TS105HG,85865.91075
TS105PJ,54715.81446
L355BH,78070.62316
ST42EW,78619.73423
WF118QA,94177.71938
ST43HE,75041.09859
NE62DQ,87065.36759
NG118HL,98451.61601
ST12NR,78309.84916
BB33BZ,83471.76489
NE62PU,76099.22102
NP237RD,40734.38315
TS66JE,33390.5064
LA127JF,84250
NE388HP,84784.01133
S369QT,97550.24054
CV211AX,99670.3184
DL178PG,43749.97019
DL178AQ,68759.68716
DN163DY,59377.48118
LL143HG,62889.24645
S122JY,58559.28747
WV81YL,84723.46734
DN162JJ,68979.75918
HX39RR,93998.30718
HU93NT,55123.68268
L243TW,95121.13836
M405FN,40134.24053
NP199PB,74998.50821
LL413BB,56826.84122
SK13PH,59375.65205
TQ58LN,88111.54367
WV108DJ,87807.42035
B357JR,93372.42889
PL14BH,76674.6596
CA143XG,42003.70349
S50JE,81671.47791
S57SZ,90368.36341
SA174TS,86061.71191
ST34HH,61562.61679
